subject,filename,yaw,pitch,l_h_ratio,l_v_ratio,r_h_ratio,r_v_ratio,label
0001,0001_2m_-15P_-10V_-10H.jpg,179.373,27.771,0.500,0.500,0.499,0.500,1
0001,0001_2m_-15P_-10V_-15H.jpg,-0.805,25.434,0.499,0.501,0.498,0.499,0
0001,0001_2m_-15P_-10V_-5H.jpg,-0.933,25.849,0.499,0.501,0.499,0.499,1
0001,0001_2m_-15P_-10V_0H.jpg,-0.507,26.635,0.499,0.501,0.499,0.499,1
0001,0001_2m_-15P_-10V_10H.jpg,-0.211,26.447,0.501,0.500,0.499,0.499,1
0001,0001_2m_-15P_-10V_15H.jpg,-0.092,27.471,0.501,0.500,0.499,0.499,0
0001,0001_2m_-15P_-10V_5H.jpg,-0.679,26.197,0.499,0.501,0.499,0.499,1
0001,0001_2m_-15P_0V_-10H.jpg,-0.599,27.642,0.500,0.500,0.499,0.499,1
0001,0001_2m_-15P_0V_-15H.jpg,-0.671,27.216,0.499,0.499,0.497,0.497,0
0001,0001_2m_-15P_0V_-5H.jpg,-0.408,26.615,0.499,0.501,0.499,0.499,1
0001,0001_2m_-15P_0V_0H.jpg,1.325,28.119,0.499,0.501,0.498,0.499,1
0001,0001_2m_-15P_0V_10H.jpg,-0.022,27.272,0.501,0.501,0.499,0.499,1
0001,0001_2m_-15P_0V_15H.jpg,-0.101,27.842,0.501,0.501,0.499,0.498,0
0001,0001_2m_-15P_0V_5H.jpg,-0.409,25.710,0.500,0.500,0.499,0.500,1
0001,0001_2m_-15P_10V_-10H.jpg,-0.151,27.351,0.499,0.499,0.498,0.499,1
0001,0001_2m_-15P_10V_-15H.jpg,0.201,27.944,0.499,0.499,0.496,0.498,0
0001,0001_2m_-15P_10V_-5H.jpg,-0.029,26.521,0.499,0.501,0.498,0.498,1
0001,0001_2m_-15P_10V_0H.jpg,0.122,26.466,0.499,0.500,0.499,0.499,1
0001,0001_2m_-15P_10V_10H.jpg,0.005,27.240,0.502,0.500,0.499,0.499,1
0001,0001_2m_-15P_10V_15H.jpg,-0.008,27.528,0.501,0.501,0.498,0.499,0
0001,0001_2m_-15P_10V_5H.jpg,-0.180,27.512,0.500,0.500,0.499,0.499,1
0001,0001_2m_-30P_-10V_-10H.jpg,0.135,36.773,0.499,0.501,0.499,0.499,1
0001,0001_2m_-30P_-10V_-15H.jpg,-0.267,36.450,0.499,0.502,0.496,0.499,0
0001,0001_2m_-30P_-10V_-5H.jpg,-179.395,36.001,0.501,0.501,0.499,0.499,1
0001,0001_2m_-30P_-10V_0H.jpg,-0.368,36.194,0.502,0.502,0.499,0.500,1
0001,0001_2m_-30P_-10V_10H.jpg,-0.254,37.120,0.502,0.502,0.499,0.499,1
0001,0001_2m_-30P_-10V_15H.jpg,0.079,36.913,0.502,0.501,0.498,0.498,0
0001,0001_2m_-30P_-10V_5H.jpg,0.357,36.100,0.501,0.501,0.499,0.500,1
0001,0001_2m_-30P_0V_-10H.jpg,0.632,35.138,0.501,0.502,0.498,0.500,1
0001,0001_2m_-30P_0V_-15H.jpg,-0.386,35.036,0.500,0.501,0.497,0.498,0
0001,0001_2m_-30P_0V_-5H.jpg,-179.914,33.843,0.501,0.501,0.498,0.500,1
0001,0001_2m_-30P_0V_0H.jpg,-179.296,36.403,0.502,0.502,0.499,0.499,1
0001,0001_2m_-30P_0V_10H.jpg,-179.282,36.451,0.501,0.501,0.500,0.500,1
0001,0001_2m_-30P_0V_15H.jpg,-0.124,36.881,0.502,0.502,0.499,0.499,0
0001,0001_2m_-30P_0V_5H.jpg,-179.667,37.016,0.501,0.501,0.499,0.499,1
0001,0001_2m_-30P_10V_-10H.jpg,-0.101,37.793,0.499,0.501,0.496,0.499,1
0001,0001_2m_-30P_10V_-15H.jpg,0.376,37.011,0.499,0.501,0.494,0.497,0
0001,0001_2m_-30P_10V_-5H.jpg,-178.897,36.837,0.501,0.501,0.498,0.499,1
0001,0001_2m_-30P_10V_0H.jpg,-179.262,37.156,0.501,0.501,0.499,0.499,1
0001,0001_2m_-30P_10V_10H.jpg,0.138,36.709,0.501,0.501,0.498,0.500,1
0001,0001_2m_-30P_10V_15H.jpg,-178.961,36.554,0.501,0.501,0.499,0.499,0
0001,0001_2m_-30P_10V_5H.jpg,0.066,38.084,0.502,0.501,0.499,0.499,1
0001,0001_2m_0P_-10V_-10H.jpg,-0.755,8.819,0.501,0.500,0.498,0.501,1
0001,0001_2m_0P_-10V_-15H.jpg,-0.710,6.224,0.501,0.500,0.498,0.500,0
0001,0001_2m_0P_-10V_-5H.jpg,-0.888,4.488,0.501,0.500,0.498,0.500,1
0001,0001_2m_0P_-10V_0H.jpg,-1.023,8.679,0.501,0.499,0.499,0.499,1
0001,0001_2m_0P_-10V_10H.jpg,-0.568,6.188,0.501,0.499,0.499,0.500,1
0001,0001_2m_0P_-10V_15H.jpg,-0.817,6.616,0.502,0.499,0.500,0.500,0
0001,0001_2m_0P_-10V_5H.jpg,-1.127,6.774,0.502,0.500,0.499,0.500,1
0001,0001_2m_0P_0V_-10H.jpg,-0.625,5.216,0.501,0.499,0.498,0.500,1
0001,0001_2m_0P_0V_-15H.jpg,-1.010,5.758,0.501,0.499,0.500,0.500,0
0001,0001_2m_0P_0V_-5H.jpg,-0.537,8.357,0.501,0.499,0.499,0.498,1
0001,0001_2m_0P_0V_0H.jpg,-1.650,4.580,0.502,0.498,0.499,0.498,1
0001,0001_2m_0P_0V_10H.jpg,-0.344,8.481,0.502,0.499,0.500,0.499,1
0001,0001_2m_0P_0V_15H.jpg,-0.411,6.781,0.502,0.498,0.500,0.500,0
0001,0001_2m_0P_0V_5H.jpg,-0.583,8.306,0.502,0.498,0.500,0.499,1
0001,0001_2m_0P_10V_-10H.jpg,-0.804,4.082,0.501,0.498,0.498,0.499,1
0001,0001_2m_0P_10V_-15H.jpg,-0.878,8.248,0.502,0.498,0.497,0.499,0
0001,0001_2m_0P_10V_-5H.jpg,-0.589,3.147,0.501,0.498,0.499,0.498,1
0001,0001_2m_0P_10V_0H.jpg,-0.533,6.070,0.501,0.498,0.500,0.498,1
0001,0001_2m_0P_10V_10H.jpg,-0.717,7.045,0.503,0.497,0.501,0.499,1
0001,0001_2m_0P_10V_15H.jpg,-0.984,6.447,0.502,0.499,0.500,0.499,0
0001,0001_2m_0P_10V_5H.jpg,-0.979,6.375,0.501,0.497,0.499,0.498,1
0001,0001_2m_15P_-10V_-10H.jpg,-2.727,-19.331,0.500,0.500,0.500,0.500,1
0001,0001_2m_15P_-10V_-15H.jpg,-2.875,-18.713,0.501,0.500,0.500,0.499,0
0001,0001_2m_15P_-10V_-5H.jpg,-2.833,-18.798,0.502,0.500,0.500,0.500,1
0001,0001_2m_15P_-10V_0H.jpg,-2.441,-17.719,0.502,0.500,0.500,0.500,1
0001,0001_2m_15P_-10V_10H.jpg,-2.751,-17.117,0.503,0.498,0.501,0.500,1
0001,0001_2m_15P_-10V_15H.jpg,-2.487,-17.143,0.505,0.497,0.501,0.500,0
0001,0001_2m_15P_-10V_5H.jpg,-2.489,-18.481,0.502,0.500,0.500,0.501,1
0001,0001_2m_15P_0V_-10H.jpg,-2.795,-20.296,0.501,0.500,0.500,0.500,1
0001,0001_2m_15P_0V_-15H.jpg,-3.233,-18.680,0.501,0.500,0.500,0.500,0
0001,0001_2m_15P_0V_-5H.jpg,-2.816,-18.442,0.501,0.498,0.500,0.499,1
0001,0001_2m_15P_0V_0H.jpg,-2.845,-18.504,0.502,0.498,0.500,0.500,1
0001,0001_2m_15P_0V_10H.jpg,-2.308,-16.779,0.502,0.497,0.501,0.500,1
0001,0001_2m_15P_0V_15H.jpg,-2.510,-18.520,0.502,0.497,0.501,0.500,0
0001,0001_2m_15P_0V_5H.jpg,-2.391,-18.423,0.502,0.498,0.501,0.500,1
0001,0001_2m_15P_10V_-10H.jpg,-3.135,-19.224,0.501,0.500,0.500,0.499,1
0001,0001_2m_15P_10V_-15H.jpg,-3.184,-19.615,0.501,0.500,0.498,0.499,0
0001,0001_2m_15P_10V_-5H.jpg,-2.680,-18.380,0.501,0.497,0.500,0.499,1
0001,0001_2m_15P_10V_0H.jpg,-2.644,-17.860,0.501,0.497,0.500,0.499,1
0001,0001_2m_15P_10V_10H.jpg,-2.167,-19.030,0.502,0.496,0.500,0.499,1
0001,0001_2m_15P_10V_15H.jpg,-2.565,-19.515,0.504,0.495,0.500,0.500,0
0001,0001_2m_15P_10V_5H.jpg,-2.512,-18.524,0.502,0.497,0.500,0.499,1
0001,0001_2m_30P_-10V_-10H.jpg,-2.288,-30.122,0.501,0.501,0.501,0.501,1
0001,0001_2m_30P_-10V_-15H.jpg,-2.373,-31.826,0.502,0.501,0.499,0.502,0
0001,0001_2m_30P_-10V_-5H.jpg,-2.355,-31.103,0.502,0.500,0.500,0.501,1
0001,0001_2m_30P_-10V_0H.jpg,-2.203,-30.535,0.502,0.500,0.500,0.502,1
0001,0001_2m_30P_-10V_10H.jpg,-1.961,-31.016,0.503,0.500,0.502,0.501,1
0001,0001_2m_30P_-10V_15H.jpg,-2.118,-30.992,0.504,0.498,0.502,0.501,0
0001,0001_2m_30P_-10V_5H.jpg,-2.168,-31.001,0.503,0.499,0.502,0.502,1
0001,0001_2m_30P_0V_-10H.jpg,-2.178,-32.423,0.502,0.500,0.500,0.502,1
0001,0001_2m_30P_0V_-15H.jpg,-2.124,-31.829,0.502,0.500,0.500,0.501,0
0001,0001_2m_30P_0V_-5H.jpg,-2.449,-31.724,0.502,0.500,0.500,0.502,1
0001,0001_2m_30P_0V_0H.jpg,179.594,-35.067,0.503,0.500,0.500,0.501,1
0001,0001_2m_30P_0V_10H.jpg,-2.709,-31.395,0.503,0.499,0.502,0.502,1
0001,0001_2m_30P_0V_15H.jpg,-2.326,-32.023,0.503,0.498,0.502,0.500,0
0001,0001_2m_30P_0V_5H.jpg,-2.690,-30.992,0.503,0.499,0.501,0.501,1
0001,0001_2m_30P_10V_-10H.jpg,-1.167,-31.382,0.502,0.500,0.500,0.501,1
0001,0001_2m_30P_10V_-15H.jpg,-2.782,-30.172,0.501,0.500,0.499,0.500,0
0001,0001_2m_30P_10V_-5H.jpg,179.229,-35.948,0.502,0.500,0.501,0.501,1
0001,0001_2m_30P_10V_0H.jpg,178.987,-35.317,0.502,0.499,0.501,0.501,1
0001,0001_2m_30P_10V_10H.jpg,-0.690,-32.565,0.503,0.497,0.502,0.500,1
0001,0001_2m_30P_10V_15H.jpg,179.022,-35.824,0.504,0.497,0.502,0.498,0
0001,0001_2m_30P_10V_5H.jpg,-1.445,-32.778,0.505,0.498,0.501,0.501,1
0002,0002_2m_-15P_-10V_-10H.jpg,-2.702,25.315,0.499,0.500,0.500,0.500,1
0002,0002_2m_-15P_-10V_-15H.jpg,-3.144,25.171,0.499,0.500,0.500,0.500,0
0002,0002_2m_-15P_-10V_-5H.jpg,-2.981,24.856,0.499,0.500,0.499,0.499,1
0002,0002_2m_-15P_-10V_0H.jpg,-2.848,24.053,0.499,0.502,0.499,0.499,1
0002,0002_2m_-15P_-10V_10H.jpg,-2.719,26.505,0.499,0.502,0.499,0.499,1
0002,0002_2m_-15P_-10V_15H.jpg,-1.956,26.994,0.501,0.502,0.500,0.499,0
0002,0002_2m_-15P_-10V_5H.jpg,-2.639,25.476,0.499,0.502,0.499,0.499,1
0002,0002_2m_-15P_0V_-10H.jpg,-2.912,25.912,0.498,0.500,0.499,0.499,1
0002,0002_2m_-15P_0V_-15H.jpg,-2.069,24.824,0.499,0.500,0.500,0.498,0
0002,0002_2m_-15P_0V_-5H.jpg,-2.313,26.815,0.499,0.500,0.499,0.499,1
0002,0002_2m_-15P_0V_0H.jpg,-2.160,26.274,0.498,0.500,0.499,0.499,1
0002,0002_2m_-15P_0V_10H.jpg,175.940,29.059,0.499,0.501,0.500,0.499,1
0002,0002_2m_-15P_0V_15H.jpg,-2.502,26.747,0.500,0.501,0.500,0.499,0
0002,0002_2m_-15P_0V_5H.jpg,176.049,29.750,0.499,0.501,0.499,0.499,1
0002,0002_2m_-15P_10V_-10H.jpg,-1.575,27.511,0.498,0.500,0.499,0.498,1
0002,0002_2m_-15P_10V_-15H.jpg,176.220,29.211,0.498,0.500,0.501,0.498,0
0002,0002_2m_-15P_10V_-5H.jpg,175.687,30.551,0.498,0.500,0.499,0.497,1
0002,0002_2m_-15P_10V_0H.jpg,-1.867,25.419,0.498,0.500,0.500,0.498,1
0002,0002_2m_-15P_10V_10H.jpg,175.734,29.402,0.499,0.501,0.500,0.498,1
0002,0002_2m_-15P_10V_15H.jpg,-1.192,25.861,0.499,0.501,0.500,0.498,0
0002,0002_2m_-15P_10V_5H.jpg,175.572,29.752,0.498,0.501,0.500,0.498,1
0002,0002_2m_-30P_-10V_-10H.jpg,174.105,38.729,0.499,0.502,0.499,0.499,1
